,dIMP,nSample,stdIMP
6656,4.144329896907217,97.0,14.926617538776158
6720,0.7578947368421053,95.0,16.606096400814074
6784,3.603960396039604,101.0,15.40482064701658
6848,3.1414141414141414,99.0,16.41199986029568
6912,5.339805825242719,103.0,15.236360061493075
6976,3.0714285714285716,98.0,15.625234692114978
7040,3.0,108.0,16.639978632464913
7104,3.8333333333333335,102.0,15.352769012131631
7168,8.271739130434783,92.0,12.610471201820616
7232,1.61,100.0,15.599932692162488
7296,3.7471264367816093,87.0,15.83769575049234
7360,-0.11224489795918367,98.0,18.62403683473746
7424,-0.042105263157894736,95.0,17.263234916387873
7488,3.8555555555555556,90.0,16.368371337641186
7552,2.2247191011235956,89.0,16.61713803897919
7616,1.7524752475247525,101.0,16.75709156254527
7680,6.244897959183674,98.0,14.879832416552603
7744,2.7745098039215685,102.0,14.541965548529186
7808,2.9813084112149535,107.0,15.36957870892788
7872,6.931372549019608,102.0,12.254858823453489
7936,5.592592592592593,108.0,13.949005697365324
8000,5.556603773584905,106.0,13.118530886367937
8064,7.357142857142857,112.0,12.023679867287735
8128,10.504587155963304,109.0,9.391215740597195
8192,7.177570093457944,107.0,13.8839065606649
8256,6.51,100.0,13.352524105950904
8320,7.819047619047619,105.0,11.670704840493691
8384,7.686868686868687,99.0,11.66852492962422
8448,6.33,100.0,13.325205439316873
8512,5.6415094339622645,106.0,12.534622751919176
8576,6.06,100.0,13.684896784411638
8640,5.326732673267327,101.0,13.693323451461966
8704,7.877358490566038,106.0,12.63471022447251
8768,8.209523809523809,105.0,12.32859258031256
8832,7.296296296296297,108.0,12.125317299597244
8896,7.02803738317757,107.0,12.970461008189249
8960,9.761904761904763,105.0,11.383801197544491
9024,7.780701754385965,114.0,11.635365608388682
9088,6.695238095238095,105.0,12.245989671665937
9152,8.05607476635514,107.0,11.977261771615908
9216,6.6869565217391305,115.0,11.555059285225074
9280,7.350877192982456,114.0,12.384896330824466
9344,7.964912280701754,114.0,10.552234173147264
9408,10.39622641509434,106.0,9.858124936796598
9472,9.205357142857142,112.0,9.746921119051924
9536,9.743362831858407,113.0,8.958882240114939
9600,8.169642857142858,112.0,9.207807627281339
9664,8.618181818181819,110.0,10.151562188945752
9728,11.148514851485148,101.0,9.383349629507652
9792,9.517543859649123,114.0,10.980231404058514
9856,9.271028037383177,107.0,11.87046133114325
9920,8.789473684210526,114.0,11.334215923485166
9984,7.351351351351352,111.0,13.283227009859884
10048,9.080357142857142,112.0,11.134035971529197
10112,7.185840707964601,113.0,11.386646947982047
10176,7.609523809523809,105.0,12.275019339017051
10240,7.08411214953271,107.0,12.409012021587717
10304,7.953703703703703,108.0,11.469269939679924
10368,7.451923076923077,104.0,13.070724633914576
10432,7.801801801801802,111.0,12.695902594910539
10496,8.296296296296296,108.0,11.08490737298982
10560,10.11504424778761,113.0,10.972009611258391
10624,8.082568807339449,109.0,13.018778561604437
10688,7.6571428571428575,105.0,12.730038395504563
10752,7.260869565217392,115.0,12.029736313219647
10816,8.267241379310345,116.0,11.554486931581208
10880,8.203703703703704,108.0,10.65429774113024
10944,10.13888888888889,108.0,10.611365616494119
11008,10.063636363636364,110.0,9.333495177660133
11072,7.8558558558558556,111.0,11.283286569038397
11136,7.850467289719626,107.0,11.406510469466616
11200,11.018518518518519,108.0,10.900205130147171
11264,8.678260869565218,115.0,12.361615080975785
11328,8.148148148148149,108.0,13.075149467890675
11392,6.739583333333333,96.0,12.939156328488174
11456,9.481132075471699,106.0,12.066819571347777
11520,8.132743362831858,113.0,11.936783652994016
11584,6.247619047619048,105.0,13.677079159347793
11648,8.857142857142858,105.0,12.123514005301216
11712,7.5675675675675675,111.0,12.599600752734887
11776,9.63551401869159,107.0,11.379923725057266
11840,4.3076923076923075,104.0,15.307788944418586
11904,5.385964912280702,114.0,14.241962197212821
11968,7.2924528301886795,106.0,13.79702386634631
12032,8.991228070175438,114.0,12.502979023287047
12096,9.28,100.0,11.022776419759225
12160,9.268518518518519,108.0,11.259240222937125
12224,9.20183486238532,109.0,10.58454803870901
12288,9.221153846153847,104.0,11.339987731279171
12352,6.93,100.0,13.397951335931921
12416,8.076923076923077,104.0,11.514783397285012
12480,8.946428571428571,112.0,11.792733299514127
12544,8.141592920353983,113.0,11.367448680244966
12608,8.074074074074074,108.0,11.371425937250125
12672,7.8108108108108105,111.0,12.483873210409374
12736,7.866071428571429,112.0,13.282974827974803
12800,8.547008547008547,117.0,11.877217814666064
12864,8.517857142857142,112.0,10.85783303727342
12928,7.925233644859813,107.0,12.344510251793105
12992,8.077586206896552,116.0,12.02450863722532
13056,9.336363636363636,110.0,10.773095505789389
13120,8.133333333333333,105.0,11.5536567426501
13184,8.641509433962264,106.0,11.567022642666034
13248,9.363636363636363,99.0,11.958222348089805
13312,6.619047619047619,105.0,13.043064898639175
13376,8.706422018348624,109.0,10.573727830125488
13440,6.0,113.0,13.115551803681164
13504,8.794392523364486,107.0,11.56350876297268
13568,10.098214285714286,112.0,10.762832723767284
13632,9.131578947368421,114.0,11.617827466905544
13696,8.974137931034482,116.0,11.383943022503043
13760,10.339285714285714,112.0,11.11591006767566
13824,8.924528301886792,106.0,10.210702961411625
13888,7.153846153846154,117.0,12.901742666770998
13952,9.880733944954128,109.0,11.872970436426623
